id;project_name;project_description;project_office
1;Stravenue process improvement San Marino;fuchsia CFA Franc BEAC;card
2;maroon Lebanese Pound Jordan;FTP Cambridgeshire Home Loan Account;Checking Account analyzing Road
3;Albania;Indiana Steel;parse
4;mobile Rupiah;synergies;Licensed Concrete Hat Switzerland
5;grey digital;Dynamic;Coordinator service-desk e-business
6;Cotton;schemas Buckinghamshire Fresh;Global alarm complexity
7;quantifying Tools;Corporate;scalable
8;Intelligent Granite Car Plastic;Ball Lempira;value-added
9;hybrid;Unbranded Plastic Mouse green Indiana;Associate programming
10;Hill;collaboration installation Italy;Saint Helena Pound Cambridgeshire Tasty Rubber Ball
