id;app_id;user_id;del_flag;create_by_id;create_by_name;create_time;last_modifier_id;last_modifier_name;last_modify_time
1;49247;97720;18421;Route Strategist;bypass Automotive;2021-01-06T08:55:58;systemic;India;2021-01-06T06:52:06
2;61671;34870;93937;multi-byte Oregon;Antarctica (the territory South of 60 de;2021-01-06T04:25:45;Cordoba Oro Wooden;scale 6th generation;2021-01-06T06:19:38
3;67670;39866;58207;Alaska Unbranded;Ergonomic black;2021-01-06T23:46:15;Gorgeous;International Tuna FTP;2021-01-07T01:56:48
4;51227;67512;46674;infomediaries redundant;Refined Tools silver;2021-01-06T18:07:34;Home Loan Account Berkshire;mission-critical Small Metal Towels;2021-01-06T14:03:39
5;58421;58872;63951;array;Lead Pitcairn Islands project;2021-01-06T17:31:10;Cayman Islands;Personal Loan Account;2021-01-06T17:06:56
6;356;68143;58082;sky blue eyeballs Supervisor;extend SSL Handmade Plastic Mouse;2021-01-06T04:59:12;protocol Rupiah Avon;Euro Producer User-friendly;2021-01-06T21:19:08
7;67386;75767;95367;cross-platform Hawaii SDD;Fords Chief;2021-01-06T12:41:19;turquoise Bahamian Dollar Communications;Soft Tactics online;2021-01-07T01:12:33
8;99038;7827;23565;incubate eyeballs Movies;Administrator 24/365;2021-01-06T23:28:06;Electronics Central;Bedfordshire zero defect Tasty Plastic M;2021-01-06T05:15:19
9;64867;76796;13988;deposit Canadian Dollar;open-source overriding Specialist;2021-01-06T12:39:01;Pennsylvania;navigate Baby aggregate;2021-01-06T19:42:50
10;96583;84474;64773;Investor hard drive sky blue;Michigan connect;2021-01-06T23:21:13;Designer card;HTTP;2021-01-06T14:35:45
